Tool	Platform	Code	Description	License	Added	Updated
AutoImpute	Python/R	https://github.com/divyanshu-talwar/AutoImpute	AutoImpute: Autoencoder based imputation of single cell RNA-seq data	MIT	2018-11-09	2018-11-09
AutomaticCellTypeIdentification	R	https://github.com/xiebb123456/AutomaticCellTypeIdentification	AutomaticCellTypeIdentification is a wrapper of published automatic cell type identification methods which contains supervised methods, unsupervised methods and semi-supervised methods	GPL-2.0-or-later	2021-10-29	2021-10-29
AWGAN	Python	https://github.com/HelloWorldLTY/AWGAN	A Powerful Batch Effect Removal Model for scRNA-seq Data	MIT	2021-11-20	2021-12-10
BABEL	Python	https://github.com/wukevin/babel	BABEL is a deep learning model designed to translate between mutliple single cell modalities	NA	2020-11-15	2021-05-14
BackSPIN	Python	https://github.com/linnarsson-lab/BackSPIN	Biclustering algorithm developed taking into account intrinsic features of single-cell RNA-seq experiments.	BSD-2-Clause	2016-09-08	2019-10-02
badger	R	https://github.com/JEFworks/badger	Bayesian approach for detecting copy number alterations from single cell RNA-seq data	NA	2017-06-05	2017-06-05
BALDR	Perl	https://github.com/BosingerLab/BALDR	BALDR is a pipeline for reconstructing human or rhesus macaque immunoglobulin(Ig)/B cell receptor(BCR) sequences from single cell RNA-Seq data generated by Illumina sequencing.	MIT	2018-04-04	2018-04-04
BAMMSC	R/C++	https://github.com/CHPGenetics/BAMMSC	A Bayesian mixture model for clustering droplet-based single cell transcriptomic data from population studies	GPL-2.0-or-later	2018-11-12	2019-07-11
BarCounter	C	https://github.com/AllenInstitute/BarCounter-release	BarCounter is a tool designed to process Next-Generation Sequencing data and count the number of Unique Molecular Identifiers (UMIs) for each specified Hash Tag Oligo (HTO) or Antibody Derived Tag (ADT) for each cell barcode specified in a user provided barcode whitelist	Custom	2022-04-01	2022-04-01
baredSC	Python	https://github.com/lldelisle/baredSC	baredSC (Bayesian Approach to Retreive Expression Distribution of Single Cell) is a tool that uses a Monte-Carlo Markov Chain to estimate a confidence interval on the probability density function (PDF) of expression of one or two genes from single-cell RNA-seq data	GPL-3.0	2021-05-28	2022-01-22
BarMixer	R	https://github.com/AllenInstitute/BarMixer	Barcode-based demultiplexing of hashed scRNA-seq datasets	Custom	2022-04-01	2022-04-01
BASIC	Python	http://ttic.uchicago.edu/~aakhan/BASIC/	BASIC is a semi-de novo assembly method to determine the full-length sequence of the BCR in single B cells from scRNA-seq data.	MIT	2016-10-10	2017-09-09
BASiCS	R	https://github.com/catavallejos/BASiCS	Bayesian Analysis of single-cell RNA-seq data. Estimates cell-specific normalization constants. Technical variability is quantified based on spike-in genes. The total variability of the expression counts is decomposed into technical and biological components.	GPL-2.0-or-later	2016-09-08	2022-02-04
BasisVAE	Python	https://github.com/kasparmartens/BasisVAE	BasisVAE: Translation-invariant feature-level clustering with Variational Autoencoders	MIT	2020-03-23	2020-03-23
BatchBench	Nextflow	https://github.com/cellgeni/batchbench	BatchBench is a Nextflow workflow for running and comparing scRNA-seq batch effect correction methods	MIT	2020-05-29	2021-06-28
batchelor	R	https://github.com/LTLA/batchelor	Implements a variety of methods for batch correction of single-cell (RNA sequencing) data.	GPL-3.0	2019-06-28	2019-06-28
BATMAN	python	https://github.com/mandricigor/batman	BATMAN is a novel tool for batch effect correction (integration) of single-cell RNA-Seq datasets.	NA	2020-02-01	2020-09-10
BayesEATS	R/C++	https://github.com/jingeyu/BayesEATS	The R package BayesEATS implements the method BEATS that integrates scRNA-seq data and bulk ST data to simultaneously cluster cells, partition spatial spots into different regions, and estimate cellular enrichments of spots in the Bayesian framework	GPL-2.0-or-later	2021-06-11	2021-06-11
bayNorm	R/C++	https://github.com/WT215/bayNorm	bayNorm provides an efficient, integrated solution for global scaling normalisation, imputation and true count recovery of gene expression measurements from scRNA-seq data	GPL-2.0-or-later	2018-08-24	2018-08-24
bbknn	Python	https://github.com/Teichlab/bbknn	BBKNN is a fast and intuitive batch effect removal tool for direct use in the scanpy workflow.	MIT	2018-08-24	2019-08-19
BC_tSNE	R/C	https://github.com/emanuelealiverti/BC_tSNE	Projected t-SNE for Batch Correction	GPL-3.0	2020-03-25	2020-04-28
bcbio	Python	https://github.com/bcbio/bcbio-nextgen	A python toolkit providing best-practice pipelines for fully automated high throughput sequencing analysis.	MIT	2019-11-06	2019-11-06
bcbioSingleCell	R	https://github.com/hbc/bcbioSingleCell	R package for bcbio single-cell RNA-seq analysis	AGPL-3.0	2019-11-06	2021-06-28
BCseq	C	http://www-rcf.usc.edu/~liangche/software.html	BCseq: accurate single cell RNA-seq quantification with bias correction	NA	2018-05-11	2018-05-11
BDA	R	https://github.com/gbouland/BDA	Differential analysis of binarized single-cell RNA sequencing data captures biological variation	GPL-3.0	2021-05-07	2022-01-24
BEANIE	Python	https://github.com/sjohri20/beanie	BEANIE is a python package for differential enrichment analysis in single cell RNA-seq data	GPL-2.0	2021-10-29	2021-10-29
BEARscc	R	https://bitbucket.org/bsblabludwig/bearscc	BEARscc is a noise estimation and injection tool that is designed to assess putative single-cell RNA-seq clusters in the context of experimental noise estimated by ERCC spike-in controls.	GPL-3.0	2017-04-27	2017-04-27
BEELINE	Python/Docker	https://github.com/murali-group/Beeline	BEELINE: Benchmarking gEnE reguLatory network Inference from siNgle-cEll transcriptomic data	GPL-3.0	2019-05-23	2020-02-21
BEER	R	https://github.com/jumphone/BEER	BEER: Batch EffEct Remover for single-cell data	MIT	2019-09-30	2019-09-30
BERMUDA	Python/R	https://github.com/txWang/BERMUDA	A novel transfer-learning-based method for batch-effect correction in single cell RNA sequencing (scRNA-seq) data	MIT	2020-03-03	2020-03-03
BESCA	Python	https://github.com/bedapub/besca	The BESCA (BEDA’s single cell sequencing analysis) package contains many useful python functions to use for your single-cell analysis	GPL-3.0	2020-08-20	2021-11-27
Beyondcell	R	https://gitlab.com/bu_cnio/beyondcell	Beyondcell is a computational methodology for identifying tumour cell subpopulations with distinct drug responses in single-cell RNA-seq data and proposing cancer-specific treatments	GPL-2.0	2021-04-12	2021-12-17
Bfimpute	R	https://github.com/maiziezhoulab/Bfimpute	Bfimpute is a powerful imputation tool for scRNA-seq data that recovers the dropout event by factorizing the count matrix into the product of gene-specific and cell-specific feature matrices	NA	2021-02-12	2022-01-14
bigSCale	MATLAB	https://github.com/dfajar2/bigSCale	bigSCale is an analytical framework scalable to analyze millions of cells	NA	2017-10-29	2021-06-28
bigSCale2	R/C++	https://github.com/iaconogi/bigSCale2	bigSCale is a complete framework for the analysis and visualization of single cell data. It allows  cluster, phenotype, perform pseudotime analysis, infer gene regulatory networks and reduce large datasets in smaller datasets with higher quality.	GPL-2.0-or-later	2019-07-11	2019-07-11
bindSC	R	https://github.com/KChen-lab/bindSC	Bi-dimensional INtegration of multi-omics Data from Single Cell sequencing technologies	GPL-3.0	2020-09-10	2020-12-12
BingleSeq	R	https://github.com/dbdimitrov/BingleSeq	A user-friendly R package for Bulk and Single-cell RNA-Seq data analyses	MIT	2020-06-26	2020-06-26
BioTIP	R	https://github.com/xyang2uchicago/BioTIP	BioTIP: an R-package for Characterization of Biological Tipping Points	GPL-2.0	2021-07-02	2021-07-02
BIRD	C++/R	https://github.com/WeiqiangZhou/BIRD	BIRD: Big data Regression for predicting DNase I hypersensitivity	NA	2019-08-26	2019-08-26
BISCUIT	R	https://github.com/sandhya212/BISCUIT_SingleCell_IMM_ICML_2016	Bayesian Inference for Single-cell Clustering and ImpuTing	NA	2018-11-12	2018-11-12
Bisque	R	https://github.com/cozygene/bisque	An R toolkit for accurate and efficient estimation of cell composition ('decomposition') from bulk expression data with single-cell information.	GPL-3.0	2019-06-20	2019-10-02
BITFAM	R	https://github.com/jaleesr/BITFAM	Bayesian Inference Transcription Factor Activity model (BITFAM) is based on a fundamental biological principle that the differences in scRNA-seq profiles of individual cells reflect distinct underlying transcription factor activity states	NA	2021-07-09	2021-07-09
BLGGM	R/C++	https://github.com/WgitU/BLGGM	BLGGM is a Bayesian latent mixture Gaussian graphical model to obtain cell-type-specific gene regulatory networks from heterogeneous and zero-inflated single-cell expression data	GPL-2.0-or-later	2022-03-18	2022-04-01
bollito	Snakemake	https://gitlab.com/bu_cnio/bollito	bollito is a Snakemake pipeline that performs a comprehensive single-cell RNA-seq analysis, covering both the basic steps (QC, alignment, quantification and cell specific QC) and more advanced downstream analyses (clustering, diferential expresion, trajectory inference, functional analysis and RNA velocity)	MIT	2021-11-20	2021-11-20
bonvoyage	Python	https://github.com/yeolab/bonvoyage	Transform percentage-based units into a 2d space to evaluate changes in distribution with both magnitude and direction.	BSD-3-Clause	2016-09-08	2017-07-16
BPSC	R	https://github.com/nghiavtr/BPSC	Beta-Poisson model for single-cell RNA-seq data analyses	GPL-3.0	2016-09-08	2016-09-08
BraCeR	Python/R	https://github.com/teichlab/bracer	BraCeR - reconstruction of B cell receptor sequences from single-cell RNA-seq data.	Apache-2.0	2017-09-09	2017-08-03
BranchedGP	Python	https://github.com/ManchesterBioinference/BranchedGP	BranchedGP is a package for building Branching Gaussian process models in python, using TensorFlow and GPFlow.	Apache-2.0	2017-07-20	2020-10-27
BRAPeS	Python	https://github.com/YosefLab/BRAPeS	BRAPeS (BCR Reconstruction Algorithm for Paired-End Single-cell), software for reconstruction of B cell receptors (BCR) using short, paired-end single-cell RNA-sequencing.	Custom	2018-08-24	2018-08-24
BREM-SC	R	https://github.com/tarot0410/BREMSC	BREMSC is an R package (with core functions jointDIMMSC and BREMSC) for joint clustering droplet-based scRNA-seq and CITE-seq data. jointDIMMSC is developed as a direct extension of DIMMSC, which assumes full indenpendency between single cell RNA and surface protein data. To take the correlation between two data sources into consideration, we further develop BREMSC, which uses random effects to incorporate the two data sources. This package can directly work on raw count data from droplet-based scRNA-seq and CITE-seq experiments without any data transformation, and it can provide clustering uncertainty for each cell.	NA	2020-02-01	2020-02-01
BRIE	Python	https://github.com/huangyh09/brie	BRIE (Bayesian regression for isoform estimate) is a Bayesian method to estimate isoform proportions from RNA-seq data.	Apache-2.0	2017-01-10	2021-09-03
BSDE	R	https://github.com/mqzhanglab/BSDE	Barycenter Single-cell RNAseq Differential Expression analysis for case-control studies	MIT	2022-04-01	2022-04-01
bseqsc	R	https://github.com/shenorrLab/bseqsc	BSeq-sc is a bioinformatics analysis pipeline that leverages single-cell sequencing data to estimate cell type proportion and cell type-specific gene expression differences from RNA-seq data from bulk tissue samples.	GPL-2.0-or-later	2018-06-27	2018-06-27
BTR	R	https://github.com/cheeyeelim/btr	BTR is a model learning algorithm for reconstructing and training asynchronous Boolean models using single-cell expression data.	GPL-3.0	2016-09-12	2016-09-12
BUSseq	R/C++	https://github.com/songfd2018/BUSseq	The BUSseq R package implements the BUSseq model to adjust single-cell RNA-sequencing data for batch effects when there are unknown cell types.	GPL-2.0-or-later	2019-02-01	2021-10-29
bustools	C++	https://github.com/BUStools/bustools	bustools is a program for manipulating BUS files for single cell RNA-Seq datasets	BSD-2-Clause	2018-12-01	2021-04-12
BZINB	R/C++	https://github.com/Hunyong/BZINB	Provides a maximum likelihood estimation of Bivariate Zero-Inflated Negative Binomial (BZINB) model or the nested model parameters.	GPL-2.0	2020-03-18	2020-03-18
CACTUS	R	https://github.com/LUMC/CACTUS	Clonal Architecture of genomic Clustering of TUmor Single cells	NA	2020-06-26	2020-06-26
CALISTA	MATLAB/R	https://github.com/CABSEL/CALISTA	CALISTA provides a user-friendly toolbox for the analysis of single cell expression data.	BSD-3-Clause	2018-03-22	2020-02-20
CancerInSilico	R/C++	https://github.com/FertigLab/CancerInSilico	The CancerInSilico package provides an R interface for running mathematical models of tumor progresson.	GPL-2.0	2018-06-19	2018-06-19
Canek	R	https://github.com/MartinLoza/Canek	The goal of Canek is to correct batch effect from single cell transcriptomics	MIT	2021-05-07	2022-03-25
CAPITAL	Python	https://github.com/ykat0/capital	CAPITAL, a method for comparing pseudotime trajectories with tree alignment whereby trajectories including branching can be compared without any knowledge of paths to be compared.	BSD-3-Clause	2019-12-05	2021-06-28
Capybara	R	https://github.com/morris-lab/Capybara	Capybara is a tool to measure cell identity and fate transitions	NA	2020-03-03	2020-03-03
CarDEC	Python	https://github.com/jlakkis/CarDEC	CarDEC (Count adapted regularized Deep Embedded Clustering) is a joint deep learning computational tool that is useful for analyses of single-cell RNA-seq data	MIT	2020-10-05	2021-06-04
cardelino	R	https://github.com/single-cell-genetics/cardelino	Methods to infer clonal structure for a population of cells using single-cell RNA-seq data	GPL-3.0-or-later	2018-07-18	2020-03-25
CaSee	Python	https://github.com/yuansh3354/CaSee	CaSee, a tumor cell discrimination model based on deep learning framework	NA	2022-02-18	2022-02-18
CaSpER	R	https://github.com/akdess/CaSpER	Identify large-scale CNV events from single cell or bulk RNA-Seq data	NA	2020-01-13	2020-01-13
CaSTLe	R	https://github.com/yuvallb/CaSTLe	Classification of Single cells by Transfer Learning	NA	2018-10-29	2018-10-29
CausalDAG	Python	https://github.com/uhlerlab/causaldag	Includes the DCI algorithm for inferring changes between two causal graphs given gene expression data from the two conditions	BSD-3-Clause	2020-05-22	2020-05-22
cb_sniffer	Python	https://github.com/sridnona/cb_sniffer	Mutation barcode caller, calls mutant and ref barcodes from 10x single cell data	GPL-3.0	2018-10-29	2021-06-28
ccdf	R	https://github.com/Mgauth/ccdf	ccdf is a package for performing single-cell RNA-seq differential expression analysis and more generally complex hypothesis testing	GPL-3.0	2021-05-28	2021-09-24
ccfindR	R	https://github.com/hjunwoo/ccfindR	single-cell RNA-seq data analysis using Bayesian non-negative matrix factorization	GPL-2.0-or-later	2018-05-13	2019-07-11
ccNet	Python	https://github.com/Just-Jia/ccNet	Ccnet, cell-cell network, is a single-cell RNA sequencing data analysis package based on non-uniform epsilon-neighborhood network (NEN)	GPL-3.0	2022-03-04	2022-03-04
CCNMF	R/C++	https://github.com/XQBai/CCNMF	Coupled-Clone Nonnegative Matrix Factorization (CCNMF) is a method for joint inference of clonal structure using paired Single-cell DNA-Seq and RNA-Seq data	MIT	2020-02-17	2020-02-17
CCPE	MATLAB	https://github.com/LiuJJ0327/CCPE	A novel cell cycle pseudotime estimation method to characterize cell cycle timing and determine cell cycle phases from single-cell RNA-seq data	NA	2021-06-18	2022-01-06
ccRemover	R	https://github.com/cran/ccRemover	Implements a method for identifying and removing the cell-cycle effect from scRNA-Seq data.	GPL-3.0	2018-04-23	2018-04-23
CCSN	MATLAB	NA	CCSN can be used for cell clustering and dimension reduction on a network basis of single cells	NA	2020-02-05	2020-02-05
CDI	R	https://github.com/jichunxie/CDI	A robust and accurate unsupervised measure for evaluating scRNA-seq data clustering	GPL-3.0	2022-01-06	2022-01-06
celaref	R	https://github.com/MonashBioinformaticsPlatform/celaref	The celaref (cell labelling by reference) package aims to streamline the cell-type identification step, by suggesting cluster labels on the basis of similarity to an already-characterised reference dataset.	GPL-3.0	2018-06-08	2018-06-08
celda	R/C++	https://github.com/campbio/celda	"""celda"" stands for ""CEllular Latent Dirichlet Allocation"", which is a suite of Bayesian hierarchical models and supporting functions to perform gene and cell clustering for count data generated by single cell RNA-seq platforms."	MIT	2019-01-18	2019-01-18
Cell-BLAST	Python	https://github.com/gao-lab/Cell_BLAST	Cell BLAST is a cell querying tool for single-cell transcriptomics data.	MIT	2019-04-16	2021-04-23
cell2cell	Python	https://github.com/earmingol/cell2cell	Inferring cell-cell interactions from transcriptomes with cell2cell	BSD-3-Clause	2021-08-07	2021-10-18
cell2location	Python	https://github.com/BayraktarLab/cell2location	Cell2location maps the spatial distribution of cell types by integrating single-cell RNA-seq (scRNA-seq) and multi-cell spatial transcriptomic data from a given tissue	Apache-2.0	2020-11-22	2022-03-04
cellAlign	R/C++	https://github.com/shenorrLab/cellAlign	CellAlign is a tool for quantitative comparison of expression dynamics within or between single-cell trajectories.	Custom	2018-03-14	2018-03-14
Cellar	Python/R	https://github.com/euxhenh/cellar	Cell Type Annotation Robot	MIT	2021-03-26	2022-03-04
CellaRepertorium	R/C++	https://github.com/amcdavid/CellaRepertorium	Methods to cluster and analyze high-throughput single cell immune cell repertoires, especially from the 10X Genomics VDJ solution	GPL-3.0	2020-11-29	2020-11-29
cellassign	R	https://github.com/irrationone/cellassign	cellassign automatically assigns single-cell RNA-seq data to known cell types across thousands of cells accounting for patient and batch specific effects.	Apache-2.0	2019-01-11	2019-09-17
CellBench	R	https://github.com/shians/cellbench	R package for benchmarking single cell analysis methods, primarily inspired by the modelling structure used in DSC	GPL-3.0	2019-05-31	2019-12-10
CellBender	Python	https://github.com/broadinstitute/CellBender	CellBender is a software package for eliminating technical artifacts from high-throughput single-cell RNA sequencing (scRNA-seq) data	BSD-3-Clause	2019-10-09	2019-10-09
CellBIC	MATLAB	https://github.com/neocaleb/CellBIC	CellBIC is bimodality-based top-down clustering of single-cell RNA sequencing data.	NA	2018-08-17	2018-08-17
cellBrowser	Python	https://github.com/maximilianh/cellBrowser	Python pipeline and Javascript scatter plot library for single-cell datasets	GPL-3.0	2018-10-02	2018-10-02
CellCall	R	https://github.com/ShellyCoder/cellcall	Integrating paired ligand-receptor and transcription factor activities for cell-cell communication	Artistic-2.0	2021-08-08	2021-08-08
CellChat	R/C++	https://github.com/sqjin/CellChat	Inference and analysis of cell-cell communication	GPL-3.0	2020-07-31	2020-07-31
CellexalVR	Csharp	https://github.com/sonejilab/cellexalvr	A feature-rich, fully interactive virtual reality environment for the visualisation and analysis of single-cell experiments	GPL-3.0	2020-10-05	2021-11-27
CellFishing	Julia	https://github.com/bicycle1885/CellFishing.jl	CellFishing.jl (cell finder via hashing) is a tool to find similar cells of query cells based on their transcriptome expression profiles.	MIT	2018-11-12	2018-11-12
cellgrid	Python	https://github.com/Brodinlab/cellgrid	Cell classification by learning known phenotypes	MIT	2020-07-31	2020-07-31
CellID	R/C++	https://github.com/RausellLab/CelliD	Gene signature extraction and cell identity recognition at individual cell level	GPL-3.0	2020-06-26	2021-05-21
Cellity	R	https://github.com/teichlab/cellity	Classification of low quality cells in scRNA-seq data using R	GPL-2.0-or-later	2016-09-08	2016-09-08
CellMeSH	Python	https://github.com/shunfumao/cellmesh	CellMeSH is a framework to identify the cell types of the query cells based on their marker genes	MIT	2020-06-05	2021-12-17
CellMixS	R	https://github.com/almutlue/CellMixS	CellMixS provides metrics and functions to evaluate batch effects, data integration and batch effect correction in single cell trancriptome data with single cell resolution	GPL-2.0-or-later	2020-12-12	2020-12-12
CellO	Python	https://github.com/deweylab/CellO	CellO (Cell Ontology-based classification) is a Python package for performing cell type classification of RNA-seq data.	MIT	2019-05-17	2021-06-28
CellOracle	python	https://github.com/morris-lab/CellOracle	CellOracle integrates single-cell transcriptome and epigenome profiles to infer gene regulatory networks.	Apache-2.0	2021-01-25	2021-01-25
CellPath	Python	https://github.com/PeterZZQ/CellPath	CellPath is a single cell trajectory inference method that infers cell developmental trajectory using single-cell RNA Sequencing data and RNA-velocity data	GPL-3.0	2021-02-26	2021-10-29
CellPhoneDB	Python	https://github.com/Teichlab/cellphonedb	CellPhoneDB is a publicly available repository of curated receptors, ligands and interactions.	MIT	2018-11-16	2020-03-12
CellRanger	Python/R	https://github.com/10XGenomics/cellranger	Cell Ranger is a set of analysis pipelines that process Chromium single cell 3’ RNA-seq output to align reads, generate gene-cell matrices and perform clustering and gene expression analysis.	NA	2017-06-08	2018-04-09
CellRank	Python	https://github.com/theislab/cellrank	CellRank is a toolkit to uncover cellular dynamics based on scRNA-seq data with RNA velocity annotation	BSD-3-Clause	2020-10-27	2022-03-04
CellRegMap	Python	https://github.com/limix/CellRegMap	Cellular Regulatory Map, a linear mixed model approach to perform multi-context eQTL mapping leveraging single cell RNA sequencing (scRNA-seq) data	MIT	2021-09-03	2021-10-29
CellRouter	R	https://github.com/edroaldo/cellrouter	CellRouter is a multifaceted single-cell analysis platform that identifies complex cell-state transition trajectories by using flow networks to explore the subpopulation structure of multi-dimensional, single-cell omics data.	NA	2018-03-14	2018-10-02
CellSIUS	R	https://github.com/Novartis/CellSIUS	CellSIUS: Cell Subtype Identification from Upregulated gene Sets	Apache-2.0	2021-07-16	2021-07-16
cellSNP	Python	https://github.com/single-cell-genetics/cellSNP	cellSNP aims to pileup the expressed alleles in single-cell or bulk RNA-seq data, which can be directly used for donor deconvolution in multiplexed single-cell RNA-seq data	Apache-2.0	2020-01-08	2020-01-08
cellsnp-lite	C/Shell/Python/R	https://github.com/single-cell-genetics/cellsnp-lite	cellsnp-lite aims to pileup the expressed alleles in single-cell or bulk RNA-seq data, which can be directly used for donor deconvolution in multiplexed single-cell RNA-seq data	Apache-2.0	2021-01-08	2021-01-08
CellTagR	R	https://github.com/morris-lab/CellTagR	Identify Clonal Identity from scRNA-seq and CellTag Data	MIT	2020-02-21	2020-02-21
celltalker	R	https://github.com/arc85/celltalker	The goal of celltalker is to infer putative ligand and receptor interactions from single-cell RNAseq data	MIT	2020-05-29	2020-05-29
CellTools	R	https://github.com/BruceRheaume/CellTools	CellTools is a suite of single-cell analytical tools	NA	2022-03-18	2022-03-18
CellTrails	R	https://github.com/dcellwanger/CellTrails	CellTrails: Inference of Temporal Gene Expression Dynamics of Branching Biological Processes from Single-cell Expression Data	Artistic-2.0	2018-12-01	2018-12-01
CellTree	R	NA	Cell population analysis and visualization from single cell RNA-seq data using a Latent Dirichlet Allocation model.	Artistic-2.0	2016-09-08	2018-03-15
CellTrek	R	https://github.com/navinlabcode/CellTrek	CellTrek is a computational framework that can directly map single cells back to their spatial coordinates in tissue sections based on scRNA-seq and ST data	NA	2021-11-27	2021-11-27
CellView	R	https://github.com/mohanbolisetty/CellView	A ShinyApp to visualize and explore single cell datasets	MIT	2018-04-17	2018-04-17
cellxgene	Python/Javascript	https://github.com/chanzuckerberg/cellxgene	cellxgene is an interactive data explorer for single-cell transcriptomics datasets, such as those coming from the Human Cell Atlas	MIT	2019-01-11	2019-01-11
cellxgene_VIP	Python	https://github.com/interactivereport/cellxgene_VIP	Enhanced plotting functions plugin for cellxgene	MIT	2020-09-10	2020-09-10
Cepo	R	https://github.com/PYangLab/Cepo	A method to explore cell identities from single-cell RNA-sequencing data using differential stability	MIT	2021-01-15	2022-01-06
Cerebro	C/C++/R/JavaScript	https://github.com/romanhaa/Cerebro	Cerebro, cell report browser, (currently available for macOS and Windows) which allows users to interactively visualize various parts of single cell transcriptomics data without requiring bioinformatic expertise.	MIT	2019-11-06	2019-11-06
CeSpGRN	Python	https://github.com/PeterZZQ/CeSpGRN	CeSpGRN is a package that is able to infer cell specific GRN using single-cell gene expression data	GPL-3.0	2022-03-04	2022-03-04
CeTF	R/C++	https://github.com/cbiagii/CeTF	An R/Bioconductor package for transcription factor co-expression networks using regulatory impact factors (RIF) and partial correlation and information (PCIT) analysis	GPL-3.0	2021-09-03	2021-09-03
cFIT	R	https://github.com/pengminshi/cFIT	cFIT (common Factor Space Integration & Transfer) is a tool for data integration and transfer for scRNAseq data	GPL-3.0	2020-09-17	2021-06-28
CHETAH	R	https://github.com/jdekanter/CHETAH	CHETAH (CHaracterization of cEll Types Aided by Hierarchical clustering): a selective, hierarchical cell type identification method for single-cell RNA sequencing	AGPL-3.0	2019-03-01	2019-03-01
chooseR	R	https://github.com/rbpatt2019/chooseR	Guided selection of single cell clustering parameters through sub-sampling cluster robustness metrics	GPL-3.0	2021-02-12	2021-02-12
Chord	R	https://github.com/13308204545/Chord	Remove single cells Doublets by integrating tools	MIT	2021-05-14	2021-05-14
